,highly_variable
CHST2,True
RP11-80H8.4,True
SLC9A9,False
SLC9A9-AS1,False
SLC9A9-AS2,False
C3orf58,False
PLOD2,False
PLSCR4,False
PLSCR2,False
PLSCR1,False
RP11-71N10.1,False
RP11-501O2.5,False
CPB1,False
RP11-680B3.2,False
CPA3,False
GYG1,False
HLTF,False
HLTF-AS1,False
HPS3,False
CP,False
TM4SF18,False
TM4SF1,False
TM4SF4,False
WWTR1,False
WWTR1-AS1,False
COMMD2,False
ANKUB1,False
RNF13,False
PFN2,False
AC117395.1,False
RP11-651P23.5,False
RP11-483E7.1,False
TSC22D2,False
SERP1,False
EIF2A,False
SELT,False
FAM194A,False
RP11-103G8.2,True
SIAH2,False
SIAH2-AS1,False
CLRN1-AS1,False
RP11-166N6.2,False
RP11-373I8.1,False
MED12L,False
GPR171,False
P2RY14,False
GPR87,False
P2RY13,False
P2RY12,False
IGSF10,False
RP11-454C18.2,False
RP11-64D22.5,False
SUCNR1,False
RP11-246A10.1,False
MBNL1,False
MBNL1-AS1,False
TMEM14E,False
RP11-362A9.3,False
P2RY1,False
RP11-38P22.2,False
RP11-529G21.2,False
RAP2B,True
RP11-292E2.1,False
RP11-292E2.4,False
C3orf79,False
ARHGEF26,True
DHX36,False
MME,False
RP11-451G4.2,False
PLCH1,False
AC104472.1,False
C3orf33,False
SLC33A1,False
GMPS,False
KCNAB1,False
RP11-305K5.1,True
SSR3,False
TIPARP-AS1,False
TIPARP,False
LINC00886,False
LEKR1,False
LINC00880,False
RP11-6F2.5,False
LINC00881,False
CCNL1,False
RP11-555M1.3,False
VEPH1,False
PTX3,False
C3orf55,False
SHOX2,False
RSRC1,False
RP11-538P18.2,True
MLF1,False
GFM1,False
LXN,False
RP11-379F4.7,False
RP11-379F4.6,False
RARRES1,False
MFSD1,False
RP11-379F4.4,False
RP11-379F4.9,False
IQCJ-SCHIP1,False
IQCJ-SCHIP1-AS1,False
SCHIP1,False
IL12A-AS1,False
IL12A,False
LINC01100,False
C3orf80,False
RP11-432B6.3,False
IFT80,False
SMC4,False
TRIM59,True
KPNA4,False
ARL14,False
RP11-16N11.2,False
PPM1L,True
B3GALNT1,False
NMD3,False
SPTSSB,True
RP11-3P17.4,False
RP11-3P17.5,False
RP11-10O22.1,False
RP11-747D18.1,False
ZBBX,False
SERPINI2,False
WDR49,False
PDCD10,False
SERPINI1,False
RP11-298O21.2,False
GOLIM4,True
RP11-368I23.2,False
MECOM,False
TERC,False
ACTRT3,False
RP11-816J6.3,False
MYNN,False
RP11-362K14.5,False
LRRC34,False
RP11-362K14.7,False
RP11-362K14.6,False
LRRIQ4,False
SAMD7,False
RP11-379K17.4,False
SEC62,False
SEC62-AS1,False
GPR160,False
PHC3,False
RP11-379K17.12,False
PRKCI,False
RP11-543D10.2,False
SKIL,True
CLDN11,False
SLC7A14,False
RPL22L1,False
EIF5A2,False
TNIK,False
RP11-185E8.1,False
PLD1,False
PP13439,False
TMEM212,False
FNDC3B,True
AC092964.2,False
GHSR,False
TNFSF10,False
RP11-408H1.3,False
NCEH1,False
ECT2,False
SPATA16,False
RP11-324C10.1,False
NLGN1,False
NAALADL2,False
NAALADL2-AS2,False
RP11-523G9.3,False
RP11-71G7.1,False
RP11-255G21.1,False
TBL1XR1,False
LINC00501,False
LINC00578,False
RP11-114M1.1,False
RP11-33A14.1,False
RP11-385J1.2,False
ZMAT3,False
RP11-360P21.2,False
PIK3CA,False
RP11-245C23.3,False
KCNMB3,False
ZNF639,False
RP11-255C15.4,False
RP11-255C15.3,False
MFN1,True
RP11-145M9.4,False
AC007620.3,False
GNB4,False
RP11-145M9.5,False
ACTL6A,False
RP11-15L13.4,False
RP11-145M9.6,False
MRPL47,False
NDUFB5,False
USP13,False
PEX5L,False
RP11-494H4.3,False
PEX5L-AS1,False
RP11-496B10.3,False
TTC14,False
CCDC39,False
FXR1,False
DNAJC19,False
SOX2,False
RP11-416O18.1,False
RP11-139K4.1,False
RP11-225N10.1,False
ATP11B,False
RP11-531F16.4,False
DCUN1D1,False
MCCC1,False
MCCC1-AS1,False
LAMP3,False
MCF2L2,False
B3GNT5,False
KLHL6,False
KLHL6-AS1,False
KLHL24,False
YEATS2,False
YEATS2-AS1,False
MAP6D1,False
PARL,False
ABCC5,False
HTR3E-AS1,False
HTR3E,False
RP11-778D9.13,False
RP11-778D9.12,False
EIF2B5,False
DVL3,False
AP2M1,False
ABCF3,False
VWA5B2,False
ALG3,False
ECE2,False
CAMK2N2,False
PSMD2,False
EIF4G1,False
FAM131A,False
CLCN2,False
POLR2H,False
CHRD,False
EIF2B5-AS1,False
EPHB3,False
MAGEF1,False
RP11-329B9.4,False
RP11-329B9.3,False
RP11-329B9.5,False
RP11-329B9.1,False
VPS8,False
C3orf70,False
EHHADH,False
MAP3K13,False
TMEM41A,False
LIPH,False
SENP2,False
IGF2BP2,False
C3orf65,False
TRA2B,False
ETV5,False
DGKG,False
CRYGS,False
TBCCD1,False
DNAJB11,False
AHSG,False
RP11-134F2.2,False
HRG,False
RP11-573D15.8,False
KNG1,False
RP11-573D15.9,False
EIF4A2,False
RFC4,False
RP11-573D15.3,False
RP11-573D15.2,False
ADIPOQ,False
ADIPOQ-AS1,False
ST6GAL1,False
RPL39L,True
RTP1,False
MASP1,False
RTP4,False
RP11-211G3.3,False
BCL6,False
RP11-211G3.2,False
RP11-132N15.3,False
LPP-AS2,False
LPP,True
AC022498.1,False
LPP-AS1,False
TPRG1-AS1,False
TPRG1,False
TP63,False
LEPREL1,False
LEPREL1-AS1,False
CLDN1,False
CLDN16,False
IL1RAP,False
OSTN,False
OSTN-AS1,False
UTS2B,False
CCDC50,True
PYDC2,False
FGF12,False
MB21D2,False
HRASLS,False
ATP13A5,False
ATP13A5-AS1,False
ATP13A4,False
OPA1,False
OPA1-AS1,False
RP11-699L21.1,False
RP11-135A1.3,False
RP11-135A1.2,False
HES1,True
RP11-513G11.4,False
RP11-513G11.3,False
LINC00887,False
LRRC15,False
GP5,False
ATP13A3,False
LINC00884,False
TMEM44-AS1,False
TMEM44,False
AC046143.3,False
RP11-534C12.1,False
LSG1,False
FAM43A,True
AC106706.1,False
AC090505.4,False
XXYLT1,False
XXYLT1-AS1,False
XXYLT1-AS2,False
ACAP2,False
PPP1R2,False
AC091633.3,False
APOD,False
RP11-141C7.4,False
AC069513.4,False
LINC00969,False
MUC20,False
MUC4,False
AC124944.5,False
TNK2,False
TNK2-AS1,False
AC124944.3,False
RP11-352G9.1,False
RP11-480A16.1,False
TFRC,False
LINC00885,False
ZDHHC19,False
SLC51A,True
PCYT1A,False
RP11-447L10.1,False
AC069257.8,False
TCTEX1D2,False
TM4SF19,False
TM4SF19-AS1,False
TM4SF19-1,False
UBXN7,False
UBXN7-AS1,False
RNF168,False
CTD-2002J20.1,False
SMCO1,False
WDR53,False
FBXO45,False
LINC01063,False
NRROS,False
PIGX,False
CEP19,False
PAK2,False
SENP5,True
NCBP2,False
NCBP2-AS1,False
NCBP2-AS2,False
PIGZ,False
MFI2,False
MFI2-AS1,False
DLG1,False
DLG1-AS1,False
AC128709.3,False
AC128709.4,False
RP13-616I3.1,False
BDH1,False
RP11-496H1.2,False
AC024560.2,False
KIAA0226,False
FYTTD1,False
RP11-803P9.1,False
LRCH3,False
AC055764.1,False
IQCG,False
RPL35A,False
LMLN,False
LMLN-AS1,False
FAM157A,False
ZNF595,True
ZNF718,False
ZNF732,False
ZNF141,False
RP11-2H3.6,False
ZNF721,False
PIGG,False
PDE6B,False
RP11-1191J2.2,False
RP11-1191J2.5,False
ATP5I,False
MYL5,False
MFSD7,False
PCGF3,False
RP11-1191J2.4,False
RP11-440L14.4,True
RP11-440L14.1,False
AC139887.4,False
CPLX1,False
GAK,False
TMEM175,False
DGKQ,True
SLC26A1,False
IDUA,False
FGFRL1,False
RP11-460I19.2,False
RNF212,False
RP11-20I20.2,False
AC092535.3,False
SPON2,True
RP11-20I20.4,False
CTBP1,True
CTBP1-AS2,False
MAEA,False
UVSSA,False
CRIPAK,False
RP13-1016M1.2,False
RP11-1398P2.1,False
FAM53A,False
SLBP,False
RP11-572O17.1,False
TMEM129,False
TACC3,False
FGFR3,False
LETM1,True
WHSC1,False
NELFA,False
C4orf48,False
NAT8L,False
POLN,False
HAUS3,False
MXD4,False
ZFYVE28,False
RP11-478C1.7,False
RP11-503N18.1,False
RNF4,False
FAM193A,False
TNIP2,False
SH3BP2,False
ADD1,False
MFSD10,False
NOP14-AS1,False
NOP14,False
GRK4,False
HTT-AS,False
HTT,False
MSANTD1,False
RGS12,False
HGFAC,False
DOK7,False
LRPAP1,False
RP11-529E10.7,False
TMEM128,False
LYAR,True
ZBTB49,False
RP11-265O12.1,False
NSG1,False
STX18,False
STX18-AS1,False
RP11-326I19.3,False
MSX1,False
CYTL1,True
STK32B,False
C4orf6,False
EVC2,False
EVC,False
CRMP1,False
C4orf50,False
JAKMIP1,False
RP11-586D19.1,False
RP11-586D19.2,False
RP11-1406H17.1,False
WFS1,False
PPP2R2C,False
MAN2B2,False
MRFAP1,False
RP11-539L10.3,False
AC093323.3,False
RP11-539L10.2,True
AC093323.1,False
S100P,True
MRFAP1L1,False
BLOC1S4,False
KIAA0232,False
TBC1D14,False
RP11-367J11.2,False
CCDC96,False
TADA2B,False
GRPEL1,False
RP11-367J11.3,False
SORCS2,False
PSAPL1,False
AFAP1-AS1,False
AFAP1,False
AC097381.1,False
ABLIM2,False
RP11-338K13.1,False
SH3TC1,False
HTRA3,False
RP11-774O3.1,False
RP11-774O3.3,False
ACOX3,False
TRMT44,False
RP11-689P11.3,False
RP11-689P11.2,False
GPR78,False
HMX1,False
FAM90A26,False
RP11-1396O13.13,False
SLC2A9,False
RP11-448G15.1,False
WDR1,False
ZNF518B,False
CLNK,False
RP11-61G19.1,False
HS3ST1,True
RP11-281P23.1,False
RP11-281P23.2,False
RP11-168E17.1,False
RP11-22A3.2,False
RP11-22A3.1,False
RAB28,False
NKX3-2,False
LINC01096,False
BOD1L1,False
RP11-341G5.1,False
AC007126.1,False
LINC01085,False
RP11-669M16.1,False
LINC00504,False
CPEB2-AS1,False
CPEB2,False
RP11-665G4.1,False
C1QTNF7,False
RP11-484O2.1,False
CC2D2A,False
RP11-799M12.2,False
FBXL5,False
FAM200B,False
BST1,False
CD38,True
FGFBP1,False
FGFBP2,True
PROM1,False
TAPT1,False
RP11-452J21.2,False
TAPT1-AS1,False
RP11-446J8.1,False
LDB2,False
QDPR,False
LAP3,False
AC006160.5,False
MED28,False
FAM184B,False
DCAF16,False
NCAPG,False
LCORL,False
RP11-3J1.1,False
SLIT2,False
PACRGL,False
KCNIP4,False
RP11-362J17.1,False
RP11-17E2.2,False
GPR125,False
RP11-412P11.1,False
RP11-380P13.1,False
PPARGC1A,False
DHX15,False
RP11-496D24.2,False
SOD3,False
CCDC149,False
LGI2,False
SEPSECS,False
PI4K2B,False
RP11-660M5.1,False
ZCCHC4,False
ANAPC4,False
RP11-302F12.3,False
SEL1L3,True
RP11-302F12.10,False
SMIM20,False
RP13-494C23.1,False
RBPJ,False
TBC1D19,True
STIM2,False
RP11-293A21.1,False
RP11-415C15.2,False
RP11-415C15.3,False
RP11-123O22.1,False
RP11-769N22.1,False
PCDH7,False
RP11-315A17.1,False
RP11-734I18.1,False
ARAP2,True
RP11-431M7.3,False
DTHD1,True
RP11-103J17.1,False
C4orf19,False
RP11-36B15.1,False
RELL1,False
PGM2,False
TBC1D1,False
PTTG2,False
RP11-83C7.1,False
RP11-83C7.2,False
RP11-213G21.1,False
RP11-617D20.1,False
RP11-617D20.2,False
AC021860.1,False
KLF3,False
TLR10,False
TLR1,False
TLR6,False
FAM114A1,False
TMEM156,False
KLHL5,False
RP11-360F5.1,False
RP11-360F5.3,False
WDR19,False
RFC1,False
KLB,False
RPL9,False
LIAS,False
UGDH,False
UGDH-AS1,False
SMIM14,True
RP11-539G18.2,False
UBE2K,False
PDS5A,False
N4BP2,False
RHOH,False
RP11-395I6.2,False
AC195454.1,False
CHRNA9,False
RBM47,False
NSUN7,False
APBB2,False
UCHL1-AS1,False
UCHL1,False
LIMCH1,False
LINC00682,False
TMEM33,False
DCAF4L1,False
RP11-814H16.2,False
SLC30A9,False
BEND4,False
RP11-63A11.1,False
SHISA3,False
ATP8A1,True
RP11-109E24.2,False
RP11-109E24.1,False
KCTD8,False
YIPF7,False
GUF1,False
GNPDA2,False
RP11-700J17.1,False
RP11-700J17.2,False
GABRA2,False
GABRA4,False
GABRB1,False
COMMD8,False
ATP10D,False
AC092597.3,False
CORIN,False
RP11-121C2.2,False
NFXL1,False
NIPAL1,False
CNGA1,False
TXK,True
TEC,False
SLAIN2,False
SLC10A4,False
ZAR1,False
FRYL,False
OCIAD1,False
OCIAD1-AS1,False
OCIAD2,False
CWH43,False
DCUN1D4,False
RP11-365H22.2,False
LRRC66,False
SGCB,False
SPATA18,False
USP46,False
USP46-AS1,False
RP11-177B4.2,False
ERVMER34-1,False
RP11-752D24.3,False
RASL11B,False
SCFD2,False
RP11-752D24.2,False
FIP1L1,False
LNX1,False
LNX1-AS1,False
RP11-571I18.4,False
CHIC2,False
AC110792.1,False
GSX2,False
PDGFRA,False
RP11-545H22.1,False
KIT,False
RP11-463H12.2,False
KDR,False
SRD5A3,False
RP11-177J6.1,False
TMEM165,False
CLOCK,False
RP11-528I4.2,False
PDCL2,False
NMU,False
RP11-345F18.1,False
EXOC1,False
CEP135,False
KIAA1211,False
AASDH,False
RP11-646I6.5,False
PPAT,False
RP11-646I6.6,False
AC068620.1,False
PAICS,False
RP11-393M11.2,False
SRP72,False
ARL9,False
THEGL,False
HOPX,True
SPINK2,True
REST,False
RP11-738E22.3,False
NOA1,False
POLR2B,False
IGFBP7,True
IGFBP7-AS1,False
RP11-525J21.1,False
RP11-16N2.1,False
LPHN3,False
RP11-798L4.1,False
RP11-12K22.1,False
TECRL,False
RP11-707A18.1,False
RP11-25H12.1,False
RP11-584P21.2,False
CENPC,False
STAP1,False
UBA6,False
UBA6-AS1,False
GNRHR,False
TMPRSS11D,False
TMPRSS11A,False
TMPRSS11BNL,False
TMPRSS11B,False
YTHDC1,False
TMPRSS11E,False
UGT2B17,False
UGT2B15,False
UGT2B7,False
RP11-704M14.1,False
UGT2B11,False
UGT2B4,False
SULT1B1,False
CSN1S1,False
HTN1,False
C4orf40,False
ENAM,False
IGJ,True
UTP3,False
RP11-46J23.1,False
RUFY3,False
GRSF1,False
MOB1B,False
DCK,False
SLC4A4,True
NPFFR2,False
ADAMTS3,False
RP11-352E8.2,False
COX18,False
ANKRD17,False
RP11-692D12.1,False
ALB,False
RASSF6,False
IL8,True
CXCL6,False
PF4V1,False
CXCL1,False
PF4,True
PPBP,True
CXCL5,False
CXCL3,False
CXCL2,True
MTHFD2L,False
AC093677.1,False
EPGN,False
EREG,True
AREG,True
AC142293.3,False
AREGB,False
BTC,False
PARM1,False
RP11-44F21.3,False
RP11-44F21.2,False
RP11-44F21.5,False
RCHY1,False
THAP6,False
C4orf26,False
CDKL2,False
G3BP2,False
USO1,False
RP11-556N4.1,False
PPEF2,False
NAAA,False
SDAD1,False
AC110615.1,False
RP11-630D6.5,False
CXCL9,False
ART3,False
CXCL10,False
CXCL11,False
NUP54,False
SCARB2,False
FAM47E,False
FAM47E-STBD1-1,False
CCDC158,False
SHROOM3,False
SOWAHB,False
SEPT11,False
CCNI,False
CCNG2,False
CXCL13,False
CNOT6L,False
MRPL1,False
FRAS1,False
ANXA3,False
LINC01094,False
RP11-109G23.3,False
BMP2K,False
PAQR3,False
LINC01088,False
LINC00989,False
RP11-234K19.1,False
RP11-452C8.1,False
ANTXR2,False
RP11-377G16.2,False
PRDM8,False
FGF5,False
C4orf22,False
BMP3,False
PRKG2,False
RASGEF1B,True
RP11-689K5.3,False
RP11-127B20.2,True
HNRNPD,False
RP11-127B20.3,False
HNRNPDL,False
ENOPH1,False
TMEM150C,False
LINC00575,False
SCD5,True
SEC31A,False
THAP9-AS1,False
THAP9,False
LIN54,False
COPS4,False
PLAC8,True
RP11-576N17.5,False
COQ2,False
HPSE,False
HELQ,False
MRPS18C,False
FAM175A,False
AGPAT9,False
NKX6-1,False
CDS1,False
WDFY3,False
WDFY3-AS1,False
ARHGAP24,True
RP13-514E23.2,False
MAPK10,False
PTPN13,False
SLC10A6,False
C4orf36,False
AFF1,False
KLHL8,False
HSD17B13,False
HSD17B11,False
NUDT9,False
RP11-710E1.2,False
SPARCL1,False
RP11-742B18.1,False
DSPP,False
SPP1,False
PKD2,False
ABCG2,False
PPM1K,False
RP11-10L7.1,False
HERC6,False
HERC5,False
PYURF,False
HERC3,False
NAP1L5,False
FAM13A-AS1,False
FAM13A,True
RP11-84C13.1,False
TIGD2,False
RP11-84C13.2,False
GPRIN3,False
RP11-115D19.1,False
SNCA,False
RP11-67M1.1,False
MMRN1,False
CCSER1,False
RP11-363G15.2,False
SMARCAD1,False
HPGDS,False
PDLIM5,False
RP11-554D13.1,False
BMPR1B,False
UNC5C,False
RP11-710C12.1,False
RP11-145G20.1,False
STPG2,False
RP11-323J4.1,False
RAP1GDS1,False
TSPAN5,False
RP11-1299A16.3,False
EIF4E,False
RP11-571L19.7,False
METAP1,False
RP11-571L19.8,False
ADH5,False
RP11-696N14.1,False
ADH4,False
ADH6,False
ADH1A,False
ADH1B,False
TRMT10A,False
MTTP,False
RP11-766F14.2,False
DAPP1,False
LAMTOR3,False
DNAJB14,False
H2AFZ,False
RP11-15B17.1,False
DDIT4L,False
EMCN,False
PPP3CA,True
AP001816.1,False
BANK1,True
RP11-498M5.2,False
SLC39A8,False
RP11-499E18.1,False
AF213884.2,False
NFKB1,False
MANBA,False
UBE2D3,False
RP11-10L12.4,False
CISD2,False
SLC9B1,False
SLC9B2,False
BDH2,False
CENPE,False
RP11-703G6.1,False
CXXC4,False
AC004053.1,False
RP11-556I14.2,False
RP11-556I14.1,False
AC004069.2,False
TET2,False
TET2-AS1,False
PPA2,False
ARHGEF38,False
INTS12,False
GSTCD,False
NPNT,False
RP11-710F7.3,False
TBCK,False
AIMP1,False
DKK2,False
PAPSS1,False
SGMS2,False
RP11-286E11.1,False
CYP2U1,False
RP11-286E11.2,False
HADH,False
LEF1,False
RPL34-AS1,False
RPL34,False
OSTC,False
ETNPPL,False
COL25A1,False
SEC24B-AS1,False
SEC24B,False
CCDC109B,False
CASP6,False
AC004067.5,False
PLA2G12A,False
CFI,False
RP11-602N24.3,False
GAR1,False
RRH,False
LRIT3,False
EGF,False
ELOVL6,True
ENPEP,False
RP11-380D23.1,False
PITX2,False
RP11-269F21.3,False
C4orf32,False
RP11-73K9.2,False
AP1AR,False
RP11-73K9.3,False
TIFA,False
ALPK1,False
NEUROG2,False
RP11-402J6.1,False
C4orf21,True
LARP7,False
MIR302B,False
RP11-148B6.2,False
ANK2,False
RP11-119H12.6,False
CAMK2D,False
ARSJ,False
RP11-26P13.2,False
UGT8,False
TRAM1L1,False
NDST3,False
SNHG8,False
PRSS12,False
RP11-384K6.6,False
METTL14,False
SEC24D,False
SYNPO2,False
RP11-21I10.2,False
MYOZ2,False
RP11-455G16.1,False
USP53,False
C4orf3,False
FABP2,False
RP11-33B1.4,False
RP11-33B1.3,False
PDE5A,False
RP11-96A1.5,False
MAD2L1,False
RP11-679C8.2,False
PRDM5,False
NDNF,False
RP11-647P12.1,False
TNIP3,False
ANXA5,False
TMEM155,False
AC079341.1,False
EXOSC9,False
CCNA2,False
BBS7,False
RP11-63B13.1,False
TRPC3,False
KIAA1109,False
ADAD1,False
IL2,False
IL21,False
IL21-AS1,False
BBS12,False
FGF2,False
RP11-170N16.3,False
NUDT6,False
SPATA5,False
SPRY1,True
RP11-381N20.2,False
RP11-381N20.1,False
LINC01091,False
RP11-93I21.3,False
ANKRD50,False
FAT4,False
INTU,False
HSPA4L,False
RP11-50D9.3,False
PLK4,False
MFSD8,False
C4orf29,False
LARP1B,False
PGRMC2,False
RP11-420A23.1,False
RP11-130C6.1,False
RP11-184M15.2,False
JADE1,False
SCLT1,True
C4orf33,False
RP11-614F17.2,False
RP11-745L13.2,False
RP11-789C2.1,False
RP11-1E22.1,False
RP11-9G1.3,False
PCDH10,False
RP11-553P9.2,False
RP11-780O17.1,False
PCDH18,False
RP11-714L20.1,False
SLC7A11,False
RP11-98O2.1,False
RP11-371F15.3,False
CCRN4L,False
ELF2,False
MGARP,False
NDUFC1,False
NAA15,False
RP11-83A24.2,False
RAB33B,False
SETD7,False
RP11-342I1.2,False
RP11-308D13.3,False
MGST2,False
MAML3,False
SCOC,False
RP11-425I13.3,False
CLGN,False
RP11-542P2.1,False
ELMOD2,False
TBC1D9,False
RP11-102N12.2,False
RP11-102N12.3,False
RNF150,False
ZNF330,False
RP11-586L23.1,False
RP11-362F19.1,False
RP11-362F19.3,False
IL15,False
INPP4B,False
RP11-223C24.1,False
RP11-284M14.1,False
USP38,False
GAB1,False
SMARCA5,False
SMARCA5-AS1,False
FREM3,False
RP13-578N3.3,False
GYPE,False
RP11-673E1.1,False
RP11-673E1.4,False
GYPB,False
GYPA,False
HHIP-AS1,False
HHIP,False
ANAPC10,False
ABCE1,False
OTUD4,False
SMAD1,False
SMAD1-AS1,False
MMAA,False
RP11-557J10.4,False
ZNF827,False
RP11-181K12.2,False
RP11-203B7.2,False
RP11-203B7.1,False
LINC01095,False
LSM6,False
RP11-6L6.2,False
RP11-6L6.7,False
SLC10A7,False
TTC29,False
RP11-752L20.5,False
RP11-425A23.1,False
TMEM184C,False
PRMT10,True
ARHGAP10,False
NR3C2,False
RP11-76G10.1,False
RP11-503L19.1,False
RP11-24I21.1,False
DCLK2,False
LRBA,False
RP11-1336O20.2,False
MAB21L2,False
RPS3A,False
SH3D19,False
RP11-372K14.2,False
RP11-731D1.4,False
RP11-610P16.1,False
FAM160A1,False
RP11-164P12.4,False
PET112,False
RP11-164P12.3,False
RP11-73G16.2,False
RP11-18H21.1,False
RP11-18H21.2,False
RP11-18H21.3,False
RP11-461L13.4,False
RP11-461L13.5,False
RP11-461L13.3,False
FBXW7,False
RP11-461L13.2,False
MIR4453,False
TMEM154,False
RP11-768B22.2,False
TIGD4,False
ARFIP1,False
FHDC1,False
RP11-285C1.2,False
TRIM2,False
MND1,False
KIAA0922,False
TLR2,False
RNF175,False
RP11-153M7.5,False
SFRP2,False
DCHS2,False
PLRG1,False
FGB,False
LRAT,False
RBM46,False
AC097467.2,False
MAP9,False
GUCY1A3,False
GUCY1B3,False
CTSO,False
PDGFC,False
GLRB,False
FAM198B,False
RP11-597D13.9,False
RP11-597D13.8,False
TMEM144,False
RXFP1,False
C4orf46,False
ETFDH,False
PPID,False
FNIP2,False
C4orf45,False
RAPGEF2,False
FSTL5,False
RP11-497K21.1,False
AC005150.1,False
NAF1,False
TKTL2,False
TMA16,False
MARCH1,True
RP11-218F10.3,False
RP11-294O2.2,False
TRIM61,False
FAM218A,False
TRIM60,False
RP11-219C20.3,False
TMEM192,False
KLHL2,False
MSMO1,False
CPE,False
RP11-340B18.1,False
TLL1,False
SPOCK3,False
ANXA10,False
DDX60,False
DDX60L,False
PALLD,True
RP11-635L1.3,False
CBR4,False
RP11-483A20.3,False
SH3RF1,False
NEK1,False
CLCN3,False
C4orf27,False
RP11-205M3.3,False
MFAP3L,False
AADAT,False
GALNTL6,False
RP11-10K16.1,False
GALNT7,False
RP11-798M19.3,False
HMGB2,False
RP11-798M19.6,False
SAP30,False
SCRG1,False
HAND2,False
HAND2-AS1,False
RP11-148L24.1,False
FBXO8,False
CEP44,False
HPGD,False
RP11-440I14.2,False
RP11-440I14.3,False
GLRA3,False
ADAM29,False
RP13-577H12.2,False
RP11-287F9.2,False
GPM6A,False
WDR17,False
SPATA4,False
ASB5,False
RP11-87F15.2,False
SPCS3,False
VEGFC,False
NEIL3,False
AGA,False
RP11-130F10.1,False
AC108142.1,False
TENM3,False
RP11-188P17.2,False
DCTD,False
RP11-335L23.4,False
RP11-335L23.5,False
WWC2-AS2,False
WWC2,False
WWC2-AS1,False
CLDN22,False
CDKN2AIP,False
RP11-367N14.2,False
ING2,False
RP11-367N14.3,False
RWDD4,False
TRAPPC11,False
STOX2,False
ENPP6,False
RP11-290F5.2,False
RP11-290F5.1,False
IRF2,False
RP11-326I11.3,False
RP11-326I11.4,False
RP11-242J7.1,False
CASP3,False
PRIMPOL,False
CENPU,False
ACSL1,False
RP11-701P16.2,False
RP11-701P16.5,False
LINC01093,False
SLC25A4,False
KIAA1430,False
SNX25,False
LRP2BP,False
RP11-714G18.1,False
ANKRD37,False
UFSP2,False
C4orf47,False
CCDC110,False
RP11-279O9.4,False
PDLIM3,False
SORBS2,False
RP11-301L8.2,False
TLR3,False
FAM149A,False
AC110771.1,False
CYP4V2,False
KLKB1,False
F11,False
F11-AS1,False
FAT1,False
RP11-217E13.1,False
RP11-138B4.1,False
RP11-91J3.3,False
ZFP42,False
TRIML2,False
RP11-366H4.3,False
LINC01060,False
RP11-756P10.2,False
RP11-462G22.1,False
RP11-462G22.2,False
AF146191.4,False
RP11-463J17.1,False
FRG1,False
PLEKHG4B,False
LRRC14B,False
CCDC127,False
SDHA,False
CTD-2083E4.6,False
PDCD6,False
AHRR,False
C5orf55,False
EXOC3,False
CTD-2228K2.5,False
SLC9A3,False
RP11-310P5.1,False
CEP72,False
TPPP,False
AC026740.1,False
CTD-2589H19.6,False
ZDHHC11,False
ZDHHC11B,False
BRD9,False
TRIP13,False
RP11-43F13.3,False
RP11-43F13.4,False
NKD2,False
SLC12A7,False
TERT,False
CLPTM1L,False
RP11-325I22.2,False
SLC6A3,False
LPCAT1,True
CTD-2245E15.3,False
CTD-2012J19.3,False
CTD-2587M23.1,False
MRPL36,False
NDUFS6,False
RP11-259O2.1,False
RP11-259O2.3,False
IRX2,False
C5orf38,False
IRX1,False
RP11-445O3.3,False
LINC01020,False
ADAMTS16,False
KIAA0947,False
CTC-471C19.1,False
CTD-2324F15.2,False
MED10,False
UBE2QL1,False
LINC01018,False
NSUN2,False
SRD5A1,False
CTD-2044J15.2,False
CTD-2044J15.1,False
PAPD7,False
RP11-332J15.4,False
CTD-2296D1.5,False
ADCY2,False
C5orf49,False
MTRR,False
FASTKD3,False
CTD-2072I24.1,False
RP11-480D4.1,False
RP11-480D4.2,False
RP11-480D4.6,False
MIR4458HG,False
RP11-315A16.1,False
SEMA5A,False
CTD-2201E9.4,False
CTD-2201E9.1,False
SNHG18,False
CTD-2199O4.1,False
CTD-2199O4.3,False
CTD-2199O4.6,False
FAM173B,False
CTD-2256P15.1,False
CCT5,False
CTD-2256P15.4,False
CMBL,False
CTD-2256P15.2,False
MARCH6,False
ROPN1L-AS1,False
ROPN1L,False
RP11-1C1.7,False
RP11-1C1.5,False
ANKRD33B,False
ANKRD33B-AS1,False
RP11-215G15.5,False
DAP,False
CTD-2154B17.4,False
CTNND2,False
RP11-308B16.2,False
CT49,False
DNAH5,False
TRIO,False
FAM105A,False
CTD-2165H16.4,False
FAM105B,False
ANKH,False
CTB-40H15.4,False
RP11-19O2.2,False
RP1-167G20.1,False
ZNF622,False
FAM134B,False
RP11-260E18.1,False
CTC-461F20.1,False
MYO10,False
BASP1,False
AC091878.1,False
CTD-2139B15.2,False
RP11-321E2.3,False
RP11-321E2.4,False
RP11-454P21.1,False
CTD-2023M8.1,False
CDH18,False
RP11-774D14.1,False
RP11-374A4.1,False
RP11-360I2.1,False
RP11-804N13.1,False
CDH12,False
C5orf17,False
CDH10,False
RP11-549K20.1,False
RP11-184E9.1,False
RP11-184E9.2,False
CTD-2306M5.1,False
CDH9,False
LINC01021,False
CTD-2134P3.1,False
CTD-2118P12.1,False
CDH6,False
DROSHA,False
C5orf22,False
PDZD2,False
CTD-2152M20.2,False
GOLPH3,False
